file,equipment_header,meas_point,header_datetime,amplitude_unit,n_samples,asset_id,analysis_date,duration_ms,sample_interval_ms,sampling_rate_hz,wavelet_energy_L0,wavelet_entropy_L0,wavelet_energy_L1,wavelet_entropy_L1,wavelet_energy_L2,wavelet_entropy_L2,wavelet_energy_L3,wavelet_entropy_L3,wavelet_energy_L4,wavelet_entropy_L4,env_rms,env_peak,env_dom_freq_hz,env_kurtosis,env_crest_factor,rms_g,peak_abs_g,crest_factor,kurtosis,skewness,shape_factor,impulse_factor,zero_cross_rate,velocity_rms_mms
A_CH-06 A_NAA_1490__Jun24.txt,Motor Compressor OAH-06_A,CH-06-A   -NAA  -->  Motor Outboard Axials,2024-06-28T08:56:47,Acceleration in G-s,4096,compressor_ch06_naa,2024-06-28,533.2,0.10000000000002274,9999.999999997726,5.562557889835606,4.477718004939515,15.465852018434436,4.832501181283639,24.07374081939365,5.563467201054309,51.590372472193195,6.162428529761792,189.89123267365787,6.892929136355484,0.37272505715592485,1.1702434815304303,397.9492187499095,3.219647237015678,3.1396962963982697,0.2635572729065242,0.966,3.665237499778448,2.9532262358125667,0.031364284812841224,1.2505388239778916,4.583521792589999,0.5567765567765568,1.0516266718589782
A_CH-06 A_NAA_1490__Sep24.txt,(CHPP) Motor Compressor CH-06_A,CH-06-A   -NAA  -->  Motor Outboard Axial,2024-09-04T10:26:52,Acceleration in G-s,8192,compressor_ch06_naa,2024-09-04,533.2,0.10000000000002274,9999.999999997726,50.013740607157885,5.504060486714861,62.61444946269032,5.552058029478619,45.97379900791117,6.180309401734252,140.00309702460282,6.9442360951116555,152.5891167804952,7.623428138889011,0.33133344710270496,1.2033721883948416,13.427734374996946,3.9123370432218323,3.631906766171406,0.2342881275234937,0.786,3.35484349251896,2.8514898977882224,0.013595044896072793,1.240512847234665,4.161726452949146,0.2634598950067147,1.3318364781674465
A_CH-06 A_NAA_1490__Oct24.txt,Motor Compressor OAH-06_A,CH-06-A   -NAA  -->  Motor Outboard Axial,2024-10-16T12:12:21,Acceleration in G-s,4096,compressor_ch06_naa,2024-10-16,533.2,0.10000000000002274,9999.999999997726,3.8254673413234324,3.359282122292265,26.021716175464917,4.893908875136978,24.2603582422237,5.556808351823031,40.50507458031898,6.2231329795981996,171.0235450676812,6.877689773401775,0.3581697889928103,1.1045513220378345,48.8281249999889,3.3591270760537917,3.0838762954876766,0.25326432067689614,1.086,4.288010238051592,3.2128140833785546,0.006317638585653726,1.2662498821934158,5.429692458798428,0.5340659340659341,0.710393709317327
A_Cooling Pump OAH 02_M1H_1480_Jun24.txt,(CHPP) Cooling Pump for OAH-02,2-COP-02  -M1H  -->  Motor Outboard Horizontal,2024-06-28T08:19:52,Acceleration in G-s,4096,cooling_pump_oah02_m1h,2024-06-28,1599.6,0.39999999999997726,2500.0000000001423,9.017513428511352,4.484227163804369,5.38484147541978,4.971105932462393,6.516103681254924,5.622655959709274,3.4881161779830387,5.411080197896531,1168.064556600293,7.208276583525198,0.761911228455578,1.3100320099490614,97.65625000000556,2.2437218257156974,1.7194024198892894,0.5387526099997466,1.179,2.1883884701706897,1.8581821303342427,-0.0792574404130042,1.1483646622448638,2.5130679864127825,0.8881562881562881,2.7661389307674575
A_Cooling Pump OAH 02_M1H_1480_Sep24.txt,(CHPP) Cooling Pump for ECH-02,2-COP-02  -M1H  -->  Motor Outboard Horizontal,2024-06-28T08:19:52,Acceleration in G-s,20480,cooling_pump_oah02_m1h,2024-09-04,1599.6,0.39999999999997726,2500.0000000001423,113.09943035629463,5.961074084548992,84.2932214333244,6.488441076390753,3392.18827035045,7.165565096718242,1315.9697430834788,7.81113979652283,1606.5147455904207,8.310912053784259,0.7958405948931507,2.259419667134902,54.199218750003084,3.0045067357291253,2.839035457138765,0.562744759217018,1.298,2.306551911391733,1.8702475996216992,-0.08075427887555113,1.149033613613722,2.65030567773879,0.2778455979295864,12.559820456166328
A_Cooling Pump OAH 02_M1H_1480_Oct24.txt,Cooling Pump for OAH-02,2-COP-02  -M1H  -->  Motor Outboard Horizontal,2024-10-16T10:53:12,Acceleration in G-s,4096,cooling_pump_oah02_m1h,2024-10-16,1599.6,0.39999999999997726,2500.0000000001423,11.003563908231122,4.578896360638646,6.0945664743301355,5.081100285487903,5.093600061911086,5.623008905317334,2.528543365310092,5.537167868314111,1419.3865679653459,7.219320960260832,0.8377371299979252,1.6449744312429073,97.65625000000556,2.6699254459458555,1.9635926024253192,0.5923696265574168,1.311,2.213145207354272,1.8454989462085651,-0.08009500573382702,1.1440515728534306,2.531952255430961,0.8874236874236874,2.7576277711156285
A_Jockey pump_M1A_2925__Jun24.txt,Jockey Pump,B-JP-01   -M1A  -->  Motor Outboard Axial,2024-06-28T09:15:08,Acceleration in G-s,2048,jockey_pump_m1a,2024-06-28,799.6,0.39999999999997726,2500.0000000001423,69.54473496384054,4.020171837187729,315.344328234754,4.2437077570855255,220.41840994078558,4.993990165104406,115.81839431744332,5.724358122953802,5.051964864094307,6.195500022408522,0.8267530907484966,1.567470123641054,191.6503906250109,2.4225873495882433,1.8959350030612614,0.5846027461781242,1.497,2.560713253203423,2.1586982132692714,-0.1734372743008797,1.195648961016727,3.0617141406596726,0.1612115290669272,7.23058031845912
A_Jockey pump_M1A_2925__Sep24.txt,Jockey Pump,B-JP-01   -M1A  -->  Motor Outboard Axial,2024-09-04T10:53:11,Acceleration in G-s,2048,jockey_pump_m1a,2024-09-04,799.6,0.39999999999997726,2500.0000000001423,29.096945144643996,4.276137034186,152.56741309376923,4.189431970270144,113.08652739593904,4.945468192925025,132.5042459570281,5.540156758408525,29.613539006294136,6.1993631620584315,0.6634197288808882,1.663820605413796,47.60742187500271,2.8471789098902938,2.5079456232300474,0.4691085915322955,1.531,3.263636666716933,3.1957969072738224,-0.25261018770491606,1.2767528016996623,4.166857257969474,0.27454811919882754,5.338973328218329
A_Jockey pump_M1A_2925__Oct24.txt,Jockey Pump,B-JP-01   -M2A  -->  Motor Inboard Axial,2024-10-16T11:46:26,Acceleration in G-s,2048,jockey_pump_m2a,2024-10-16,799.6,0.39999999999997726,2500.0000000001423,47.185327714499515,3.5644354535695477,127.32696859893824,4.295480204499732,217.1613784544162,5.082177949290077,102.40072657815602,5.477046122469449,22.791331218072983,6.149091878484816,0.6835708069228659,1.8368859819614933,144.0429687500082,2.938587638816183,2.687191968053253,0.48335760524263854,1.699,3.514995898623777,3.078450876054064,0.4927362259352696,1.2725013970216037,4.472837191533217,0.22178798241328773,6.170526497144395
